query,time,httpCalls,nbResults,errors
query_10174,0.371,1,37,0
query_10175,1.845,6,10000,22
query_10176,0.097,1,0,0
query_10177,0.116,1,0,0
query_10179,0.081,1,0,0
query_1017,0.182,1,59,0
query_10180,0.532,2,2453,0
query_10181,0.084,1,0,0
query_10182,0.112,1,339,0
query_10183,0.089,1,4,0
query_10184,0.175,1,0,0
query_10185,0.107,1,2,0
query_10186,0.106,1,47,0
query_10187,0.262,1,1348,0
query_10188,0.114,1,2,0
query_1018,0.229,1,877,0
query_10190,0.083,1,6,0
query_10191,0.152,1,0,0
query_10192,0.077,1,0,0
query_10193,0.078,1,0,0
query_10195,0.08,1,3,0
query_10196,0.09,1,21,0
query_10199,0.103,1,2,0
query_1019,0.307,1,8,0
query_101,0.114,1,0,0
query_10200,0.131,1,0,0
query_10201,0.077,1,0,0
query_10203,0.081,1,29,0
query_10205,0.083,1,49,0
query_10207,0.18,1,1,0
query_10209,0.09,1,2,0
query_1020,1.466,6,10000,21
query_10210,0.098,1,0,0
query_10211,0.1,1,223,0
query_10212,0.1,1,25,0
query_10213,0.135,1,573,0
query_10214,0.107,1,0,0
query_10215,0.075,1,1,0
query_10216,0.102,1,47,0
query_10217,0.074,1,1,0
query_10218,0.101,1,276,0
query_10219,0.085,1,0,0
query_1021,0.103,1,256,0
query_10220,0.157,1,2,0
query_10221,0.088,1,39,0
query_10222,0.082,1,43,0
query_10225,1.082,4,7456,0
query_10226,0.114,1,28,0
query_10227,0.075,1,0,0
query_10229,0.115,1,234,0
query_1022,0.167,1,246,0
query_10230,0.152,1,441,0
query_10231,0.076,1,0,0
query_10232,0.08,1,0,0
query_10234,0.116,1,9,0
query_10235,1.338,5,9432,0
query_10236,0.12,1,16,0
query_10237,0.147,1,649,0
query_10238,0.128,1,0,0
query_1023,0.129,1,56,0
query_10240,0.118,1,161,0
query_10241,0.126,1,607,0
query_10242,0.079,1,23,0
query_10243,0.084,1,2,0
query_10246,0.089,1,0,0
query_10248,0.125,1,42,0
query_10251,0.162,1,1,0
query_10253,0.152,1,485,0
query_10254,0.118,1,23,0
query_10255,0.075,1,0,0
query_10256,0.13,1,1,0
query_10257,0.114,1,5,0
query_10258,0.08,1,0,0
query_10259,0.086,1,17,0
query_1025,0.222,1,0,0
query_10261,0.076,1,1,0
query_10263,0.151,1,485,0
query_10266,0.166,1,127,0
query_10268,1.725,6,10000,22
query_1026,0.158,1,48,0
query_10271,0.205,1,526,0
query_10272,0.111,1,1,0
query_10273,0.102,1,42,0
query_10274,0.12,1,1,0
query_10277,1.635,6,10000,22
query_10279,0.078,1,0,0
query_1027,0.081,1,2,0
query_10280,0.116,1,129,0
query_10281,0.183,1,0,0
query_10282,0.115,1,0,0
query_10283,0.117,1,0,0
query_10284,0.079,1,5,0
query_10285,0.127,1,722,0
query_10286,0.099,1,0,0
query_10287,0.124,1,36,0
query_10288,0.183,1,649,0
query_1028,0.094,1,0,0
query_10291,0.142,1,39,0
query_10292,0.231,1,813,0
query_10293,0.121,1,491,0
query_10295,0.12,1,10,0
query_10297,0.127,1,20,0
query_10298,0.117,1,54,0
query_10299,0.101,1,26,0
query_102,0.109,1,0,0
query_10300,0.089,1,0,0
query_10301,1.785,6,10000,22
query_10302,1.271,4,7234,0
query_10303,0.109,1,1,0
query_10304,0.248,1,1807,0
query_10307,0.131,1,8,0
query_10308,0.179,1,74,0
query_10309,0.109,1,0,0
query_1030,0.117,1,2,0
query_10310,0.145,1,218,0
query_10311,0.115,1,0,0
query_10313,0.119,1,0,0
query_10314,0.152,1,210,0
query_10315,0.086,1,129,0
query_10316,0.196,1,853,0
query_10317,1.667,6,10000,21
query_10318,7.957,5,9668,0
query_10319,0.134,1,129,0
query_1031,0.192,1,9,0
query_10320,0.11,1,0,0
query_10322,0.099,1,33,0
query_10323,0.148,1,6,0
query_10324,1.664,6,10000,22
query_10326,0.178,1,18,0
query_10327,0.174,1,33,0
query_1032,0.186,1,436,0
query_10330,0.294,1,1908,0
query_10331,0.227,1,6,0
query_10332,0.177,1,231,0
query_10335,0.169,1,9,0
query_10337,0.087,1,0,0
query_10338,0.237,1,0,0
query_10339,0.112,1,5,0
query_1033,0.135,1,13,0
query_10340,0.105,1,202,0
query_10341,0.099,1,10,0
query_10343,0.131,1,167,0
query_10344,0.15,1,345,0
query_10345,0.14,1,386,0
query_10346,0.079,1,67,0
