query,time,httpCalls,nbResults,errors
query_10174,0.224,1,37,0
query_10175,0.202,1,2000,0
query_10176,0.083,1,0,0
query_10177,0.115,1,0,0
query_10179,0.117,1,0,0
query_1017,0.12,1,59,0
query_10180,0.207,1,2000,0
query_10181,0.124,1,0,0
query_10182,0.147,1,339,0
query_10183,0.078,1,4,0
query_10184,0.093,1,0,0
query_10185,0.119,1,2,0
query_10186,0.119,1,47,0
query_10187,0.193,1,1348,0
query_10188,0.087,1,2,0
query_1018,0.284,1,877,0
query_10190,0.091,1,6,0
query_10191,0.147,1,0,0
query_10192,0.119,1,0,0
query_10193,0.136,1,0,0
query_10195,0.109,1,3,0
query_10196,0.131,1,21,0
query_10199,0.117,1,2,0
query_1019,1.889,1,8,0
query_101,0.107,1,0,0
query_10200,0.119,1,0,0
query_10201,0.112,1,0,0
query_10203,0.104,1,29,0
query_10205,0.099,1,49,0
query_10207,0.144,1,1,0
query_10209,0.106,1,2,0
query_1020,0.186,1,2000,0
query_10210,0.104,1,0,0
query_10211,0.158,1,223,0
query_10212,0.121,1,25,0
query_10213,0.193,1,573,0
query_10214,0.123,1,0,0
query_10215,0.101,1,1,0
query_10216,0.118,1,47,0
query_10217,0.1,1,1,0
query_10218,0.145,1,276,0
query_10219,0.131,1,0,0
query_1021,0.143,1,256,0
query_10220,0.108,1,2,0
query_10221,0.124,1,39,0
query_10222,0.122,1,43,0
query_10225,0.216,1,2000,0
query_10226,0.12,1,28,0
query_10227,0.112,1,0,0
query_10229,0.121,1,234,0
query_1022,0.122,1,246,0
query_10230,0.167,1,441,0
query_10231,0.096,1,0,0
query_10232,0.098,1,0,0
query_10234,0.125,1,9,0
query_10235,0.175,1,2000,0
query_10236,0.105,1,16,0
query_10237,0.163,1,649,0
query_10238,0.118,1,0,0
query_1023,0.142,1,56,0
query_10240,0.121,1,161,0
query_10241,0.171,1,607,0
query_10242,0.109,1,23,0
query_10243,0.084,1,2,0
query_10246,0.11,1,0,0
query_10248,0.121,1,42,0
query_10251,0.102,1,1,0
query_10253,0.13,1,485,0
query_10254,0.082,1,23,0
query_10255,0.078,1,0,0
query_10256,0.126,1,1,0
query_10257,0.125,1,5,0
query_10258,0.115,1,0,0
query_10259,0.12,1,17,0
query_1025,0.123,1,0,0
query_10261,0.103,1,1,0
query_10263,0.137,1,485,0
query_10266,0.161,1,127,0
query_10268,0.226,1,2000,0
query_1026,0.117,1,48,0
query_10271,0.226,1,526,0
query_10272,0.11,1,1,0
query_10273,0.123,1,42,0
query_10274,0.117,1,1,0
query_10277,0.225,1,2000,0
query_10279,0.115,1,0,0
query_1027,0.125,1,2,0
query_10280,0.119,1,129,0
query_10281,0.109,1,0,0
query_10282,0.12,1,0,0
query_10283,0.119,1,0,0
query_10284,0.112,1,5,0
query_10285,0.116,1,722,0
query_10286,0.121,1,0,0
query_10287,0.146,1,36,0
query_10288,0.144,1,649,0
query_1028,0.077,1,0,0
query_10291,0.14,1,39,0
query_10292,0.213,1,813,0
query_10293,0.16,1,491,0
query_10295,0.112,1,10,0
query_10297,0.118,1,20,0
query_10298,0.12,1,54,0
query_10299,0.105,1,26,0
query_102,0.082,1,0,0
query_10300,0.109,1,0,0
query_10301,0.213,1,2000,0
query_10302,0.216,1,2000,0
query_10303,0.113,1,1,0
query_10304,0.211,1,1807,0
query_10307,0.133,1,8,0
query_10308,0.196,1,74,0
query_10309,0.084,1,0,0
query_1030,0.084,1,2,0
query_10310,0.092,1,218,0
query_10311,0.08,1,0,0
query_10313,0.103,1,0,0
query_10314,0.117,1,210,0
query_10315,0.113,1,129,0
query_10316,0.171,1,853,0
query_10317,0.205,1,2000,0
query_10318,1.337,1,2000,0
query_10319,0.134,1,129,0
query_1031,0.152,1,9,0
query_10320,0.105,1,0,0
query_10322,0.126,1,33,0
query_10323,0.158,1,6,0
query_10324,0.17,1,2000,0
query_10326,0.121,1,18,0
query_10327,0.2,1,33,0
query_1032,0.273,1,436,0
query_10330,0.277,1,1908,0
query_10331,0.141,1,6,0
query_10332,0.156,1,231,0
query_10335,0.166,1,9,0
query_10337,0.113,1,0,0
query_10338,0.127,1,0,0
query_10339,0.1,1,5,0
query_1033,0.108,1,13,0
query_10340,0.162,1,202,0
query_10341,0.123,1,10,0
query_10343,0.118,1,167,0
query_10344,0.105,1,345,0
query_10345,0.187,1,386,0
query_10346,0.114,1,67,0
